#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Vossstraße;Geislingen (St) Vossstr.;10211;de:08117:211;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;Bus;950,950A,958,958A,959,962,350;31950_,31950a,31958_,31958a,31959_,31962_,75350_;7;31,75;9,841960655;48,62829373
Krankenhaus;Geisl.(St) Krankenhaus;10212;de:08117:212;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;Bus;950,950A,958,958A,959,962;31950_,31950a,31958_,31958a,31959_,31962_;6;31;9,844888476;48,6249
Ortsmitte;Waldhausen Ortsmitte;10213;de:08117:213;08117024;Geislingen an der Steige;Waldhausen (Geislingen);GP;7;Bus;957,958,958A,959;31957_,31958_,31958a,31959_;4;31;9,9107505;48,63563857
Christofshof;Waldhausen Christofshof;10214;de:08117:10214;08117024;Geislingen an der Steige;Waldhausen (Geislingen);GP;7;Bus;958,958A,959;31958_,31958a,31959_;3;31;9,89527438;48,63361972
Heidhöfe Schafhaus;Böhmenkirch Heidhöfe Schafhaus;10215;de:08117:215;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;952;31952_;1;31;9,957066152;48,71414662
Eybtalhalle;Eybach Eybtalhalle;10216;de:08117:216;08117024;Geislingen an der Steige;Eybach;GP;7;Bus;958,958A;31958_,31958a;2;31;9,866361476;48,63516292
Breiter Weg;Böhmenkirch Breiter Weg;10217;de:08117:217;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;950,950A;31950_,31950a;2;31;9,937149987;48,68153225
Heidhöfe Alleenstraße;Böhmenkir. Heidhöfe Alleenstr.;10218;de:08117:10218;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;952;31952_;1;31;9,951544651;48,70959715
Aufhausen;Aufhausen;10257;de:08117:257;08117024;Geislingen an der Steige;Aufhausen (Geislingen);GP;7;"Bus;Ruftaxi";RT350,350;50350_,75350_;2;50,75;9,763677664;48,58557578
Türkheim;Türkheim;10258;de:08117:258;08117024;Geislingen an der Steige;Türkheim;GP;7;"Bus;Ruftaxi";RT350,350;50350_,75350_;2;50,75;9,802565548;48,58557189
